ISO3,country_name,region,income_group,population,gdp_ppp,total_ghg,co2_fossil,ghg_per_capita,re_share_elec,ndgain_rank,ndgain_vuln,ndgain_ready,data_year,source_primary
BDI,Burundi,Africa,,13689450,3430949250,3.9643774032592773,0.9007160067558289,0.6785079836845398,69.231,,,,2024,Supabase
GEO,Georgia,Asia,,3715483,30777833601,14.924304008483887,11.922203063964844,3.3152554035186768,76.042,,,,2024,Supabase
GHA,Ghana,Africa,,33787914,80547146878,34.253570556640625,20.135648727416992,1.5122027397155762,38.534,,,,2024,Supabase
IOT,British Indian Ocean Territory,Africa,,,,,,,,,,,2024,Supabase
EGY,Egypt,Africa,,114535772,395926075163,297.57086181640625,250.23019409179688,2.819051742553711,11.266,,0.438,0.345,2024,Supabase
GUF,French Guiana,Americas,,292354,,,,,71.429,,,,2024,Supabase
MHL,Marshall Islands,Oceania,,38827,263761322,,0.1477220058441162,0.00257552733922271,,,,,2024,Supabase
GNB,Guinea-Bissau,Africa,,2153339,2127688181,1.2280656099319458,0.3293420076370239,3.673077344894409,0,,,,2024,Supabase
FJI,Fiji,Oceania,,924145,5476673518,1.9225599765777588,1.3820960521697998,1.3830337524414062,63.478,,,,2024,Supabase
ZMB,Zambia,Africa,,20723965,27577956471,21.136472702026367,11.830726623535156,4.767905235290527,89.003,,,,2024,Supabase
ISL,Iceland,Europe,,385663,31677891897,3.8339505195617676,3.508234977722168,12.322463035583496,100,,,,2024,Supabase
BMU,Bermuda,Americas,,64698,8579242000,,0.529653012752533,3.99239543726236,1.562,,,,2024,Supabase
PLW,Palau,Oceania,,17727,276733063,0.2793791592121124,0.21620899438858032,15.857203483581543,,,,,2024,Supabase
SDN,Sudan,Africa,,50042791,39898288919,36.8172607421875,17.71552276611328,2.664956569671631,70.149,,,,2024,Supabase
AUS,Australia,Oceania,,26659922,1734451264656,459.3740234375,384.3160705566406,23.1173038482666,34.876,,0.318,0.675,2024,Supabase
KHM,Cambodia,Asia,,17423880,42335646896,25.700822830200195,21.411502838134766,5.246326446533203,44.517,,,,2024,Supabase
NZL,New Zealand,Oceania,,5200000,255194972673,38.39171600341797,31.559814453125,15.895441055297852,87.642,,,,2024,Supabase
PHL,Philippines,Asia,,114891199,437055627244,193.0995635986328,160.98046875,2.5304996967315674,21.942,,,,2024,Supabase
BFA,Burkina Faso,Africa,,23025776,20112614449,12.886021614074707,6.308441162109375,2.5363399982452393,17.341,,,,2024,Supabase
FRO,Faroe Islands,Europe,,54414,3943131022,,0.7136589884757996,0.0385930091520565,45.833,,,,2024,Supabase
SLE,Sierra Leone,Africa,,8460512,6415852767,4.1824541091918945,1.3804349899291992,1.961625576019287,95.238,,,,2024,Supabase
GRD,Grenada,Americas,,117081,1336418519,0.4047618806362152,0.36297300457954407,3.3098695278167725,0,,,,2024,Supabase
BOL,Bolivia,Americas,,12244159,52340206946,29.338991165161133,24.620519638061523,12.439516067504883,35.008,,,,2024,Supabase
CHE,Switzerland,Europe,,8888822,894424821645,34.42124938964844,31.97748565673828,4.502466201782227,62.705,,,,2024,Supabase
VCT,Saint Vincent and the Grenadines,Americas,,101323,1072237037,0.2912999987602234,0.24619899690151215,2.677035093307495,13.333,,,,2024,Supabase
ECU,Ecuador,Americas,,17980083,121147057000,59.11298751831055,44.59959030151367,3.4583709239959717,76.779,,,,2024,Supabase
SYC,Seychelles,Africa,,119773,2187379755,0.7434723973274231,0.6413090229034424,5.857896327972412,14.286,,,,2024,Supabase
ZAF,South Africa,Africa,,63212384,381440724491,507.2519836425781,436.60418701171875,8.564516067504883,12.522,,0.41,0.395,2024,Supabase
IND,India,Asia,,1438069596,3638489096034,3431.96826171875,3062.75634765625,2.8659417629241943,19.506,,0.48,0.37,2024,Supabase
LBR,Liberia,Africa,,5493031,4390000000,3.4209675788879395,0.8340010046958923,4.466468811035156,33.333,,,,2024,Supabase
LTU,Lithuania,Europe,,2871585,79789877416,15.3770170211792,12.507402420043945,7.761897563934326,83.493,,,,2024,Supabase
SGP,Singapore,Asia,,5917648,505439514078,58.1649169921875,51.0676155090332,10.071054458618164,4.536,,,,2024,Supabase
PRI,Puerto Rico,Americas,,3203792,118478754281,,,4.56646374046755,5.377,,,,2024,Supabase
BLZ,Belize,Americas,,411106,3052362650,1.117652177810669,0.7664510011672974,20.604040145874023,88.889,,,,2024,Supabase
NLD,Netherlands,Europe,,17877117,1135475867551,126.87810516357422,117.0163803100586,8.295883178710938,47.301,,,,2024,Supabase
ERI,Eritrea,Africa,,3470390,2389993945,2.248508930206299,0.7310349941253662,2.966407060623169,11.364,,,,2024,Supabase
MSR,Montserrat,Americas,,4386,,,0.025596000254154205,,0,,,,2024,Supabase
REU,Réunion,Africa,,896175,,,,,34.125,,,,2024,Supabase
SGS,South Georgia,Antarctic,,,,,,,,,,,2024,Supabase
YEM,Yemen,Asia,,39390799,24969323380,17.769941329956055,10.141168594360352,0.676114559173584,16.938,,,,2024,Supabase
NOR,Norway,Europe,,5519601,482949731777,46.03498840332031,38.86899948120117,10.488692283630371,98.469,,,,2024,Supabase
TZA,Tanzania,Africa,,66617606,81540096121,39.4449348449707,20.309608459472656,2.6824686527252197,25.501,,,,2024,Supabase
SVN,Slovenia,Europe,,2120461,69255264238,13.645943641662598,12.012164115905762,8.378463745117188,40.514,,,,2024,Supabase
OMN,Oman,Asia,,5049269,106174708037,111.15667724609375,79.81063842773438,22.434629440307617,4.044,,,,2024,Supabase
MOZ,Mozambique,Africa,,33635160,20921079533,26.766361236572266,9.093456268310547,1.7887020111083984,83.691,,,,2024,Supabase
LBY,Libya,Africa,,7305659,44027664915,91.21075439453125,64.21908569335938,12.849150657653809,0.028,,,,2024,Supabase
TCD,Chad,Africa,,19319064,18340233749,9.258176803588867,2.8483939170837402,6.290970802307129,5.128,,,,2024,Supabase
GUY,Guyana,Americas,,826353,16918503597,6.531551837921143,4.378932952880859,15.472132682800293,6.716,,,,2024,Supabase
KGZ,Kyrgyzstan,Asia,,7099750,15180842369,14.887024879455566,11.144427299499512,3.0994791984558105,85.652,,,,2024,Supabase
DJI,Djibouti,Africa,,1152944,3898447007,1.295340657234192,0.5575590133666992,1.8140403032302856,35,,,,2024,Supabase
MNP,Northern Mariana Islands,Oceania,,45143,1073760319,,,0.00221518286334537,,,,,2024,Supabase
TGO,Togo,Africa,,9304337,9816236303,7.026119709014893,2.6710128784179688,1.2871190309524536,20.652,,,,2024,Supabase
LKA,Sri Lanka,Asia,,22037000,83716142582,25.622825622558594,19.166019439697266,1.7856578826904297,47.624,,,,2024,Supabase
